Lake,SampleType,MonthYear,Cd,Cu,Zn,Cr,Pb,Unit
Ulsoor,Water,Aug-21,0.0005,0.18,0.07,0,0.003,mg/L
Ulsoor,Water,Sep-21,0.002,0.01,0.15,0.02,0.01,mg/L
Ulsoor,Water,Oct-21,0.003,0.78,0.4,0.12,0.22,mg/L
Ulsoor,Water,Nov-21,0.002,0.83,0.8,0.07,3.98,mg/L
Ulsoor,Water,Dec-21,0.003,0.38,0.22,0.06,0.44,mg/L
Ulsoor,Water,Jan-22,0.01,0,0.01,0,0.01,mg/L
Ulsoor,Water,Feb-22,0.002,0,0.03,0.01,0.02,mg/L
Ulsoor,Water,Mar-22,0.001,0,0.03,0.03,0,mg/L
Ulsoor,Water,Apr-22,0.01,0.01,0.1,0.05,0,mg/L
Ulsoor,Water,May-22,0.009,0.008,0.08,0.09,0,mg/L
Ulsoor,Water,Jun-22,0.002,0,0.05,0.24,0,mg/L
Ulsoor,Water,Jul-22,0.006,0,0.03,0.25,0,mg/L
Agara,Water,Aug-21,0.001,0.01,0.04,0,0.01,mg/L
Agara,Water,Sep-21,0.004,0,0.07,0.003,0,mg/L
Agara,Water,Oct-21,0.005,0.83,0.485,0.1,0.59,mg/L
Agara,Water,Nov-21,0.004,0.77,0.77,0.07,4.09,mg/L
Agara,Water,Dec-21,0.005,0.2,0.16,0.09,0.44,mg/L
Agara,Water,Jan-22,0.01,0,0.0005,0,0.17,mg/L
Agara,Water,Feb-22,0.006,0,0.03,0.009,0.04,mg/L
Agara,Water,Mar-22,0.006,0,0.03,0.02,0.008,mg/L
Agara,Water,Apr-22,0.02,0.002,0.08,0.04,0.03,mg/L
Agara,Water,May-22,0.02,0.004,0.07,0.06,0,mg/L
Agara,Water,Jun-22,0.005,0,0.002,0.16,0,mg/L
Agara,Water,Jul-22,0.03,0,0.04,0.21,0,mg/L
